seas_id,player_id,tm,pos,age,experience
1,309,DET,SF,26,7
1,309,DET,PF,27,8
1,309,POR,PF,28,9
1,235,SAC,SG,29,10
1,172,TOR,PG,30,9
1,389,WAS,SG,27,5
1,117,MIN,PG,30,11
1,188,MIA,SF,33,12
1,83,LAC,C,34,13
1,143,TOR,SG,31,10
1,310,BRK,SG,31,9
1,311,MIL,SF,35,9
1,8,BOS,SG,40,18
1,403,IND,PG,25,3
1,95,SAS,C,34,10
1,469,MIL,PF,24,2
1,431,PHI,C,28,7
1,341,OKC,PF,25,3
1,341,CHI,C,25,3
1,341,SAS,C,26,4
1,242,DET,C,29,8
1,246,NYK,SG,27,6
1,60,MIN,PG,34,8
1,158,LAC,PG,32,11
1,342,DEN,PF,23,3
1,342,CHO,PF,23,3
1,342,CHO,PF,24,4
1,209,DET,PF,29,8
1,144,GSW,PF,31,9
1,470,BOS,PG,30,2
1,394,PHI,SF,29,4
1,312,UTA,SG,30,9
1,177,NOP,SG,29,6
1,72,SAC,PG,30,10
1,150,MIN,C,29,8
1,390,DET,SG,28,4
1,404,MIA,PF,23,3
1,405,OKC,PF,26,3
1,92,DAL,PF,30,11
1,361,NOP,SG,29,8
1,132,MIL,PG,32,14
1,313,NYK,PF,28,9
1,382,TOT,SF,28,6
1,382,CLE,SF,28,6
1,382,IND,SF,28,6
1,300,BRK,C,26,3
1,217,PHI,PF,27,3
1,229,DAL,SG,33,10
1,362,POR,SF,26,8
1,353,TOT,SF,23,3
1,353,HOU,SF,23,3
1,353,BRK,SF,23,3
1,363,MIN,PF,27,8
1,189,LAC,SF,31,11
1,471,DET,PG,22,2
1,263,UTA,C,31,10
1,364,CHO,SF,27,8
1,190,DAL,PG,32,12
1,210,HOU,C,29,8
1,236,LAL,SF,32,10
1,264,DEN,SG,29,10
1,77,BRK,PF,34,15
1,106,MIA,PF,34,15
1,365,GSW,C,26,8
1,230,MIL,SF,31,11
1,191,GSW,SG,32,10
1,118,SAC,C,29,11
1,432,UTA,PG,28,7
1,45,ATL,PF,31,13
1,366,WAS,C,27,7
1,314,MIN,PF,29,9
1,20,CLE,PF,37,16
1,20,UTA,SG,37,16
1,20,MIL,SF,38,17
1,63,MIA,PG,36,17
1,243,PHI,C,29,8
1,251,OKC,SF,29,6
1,482,HOU,PF,24,1
1,192,DAL,PG,30,12
1,411,ATL,SG,25,2
1,66,BRK,C,36,16
1,167,LAL,SG,28,9
1,167,TOT,PG-SG,31,10
1,167,ATL,SG,31,10
1,167,IND,PG,31,10
1,207,BRK,PF,31,9
1,324,TOT,SG,30,8
1,324,BRK,SG,30,8
1,324,MIL,SG,30,8
1,367,NOP,PF,30,8
1,182,CLE,C,28,6
1,218,IND,PF,27,6
1,28,PHO,SG,34,14
1,17,LAL,PF,38,20
1,48,LAC,PG,34,16
1,48,ATL,PG,34,16
1,48,ATL,PG,35,17
1,115,HOU,PF,33,12
1,344,TOR,C,25,4
1,96,BRK,PF,36,10
1,178,MIA,SF,28,8
1,35,MIN,SF,33,15
1,458,TOR,SG,23,3
1,433,BOS,PG,30,7
1,472,ATL,PG,28,2
1,434,LAL,SG,26,7
1,183,DAL,SG,27,4
1,15,SAS,SG,40,16
1,113,LAL,C,36,13
1,412,LAL,PG,33,2
1,87,LAC,C,34,12
1,84,SAS,SG,33,13
1,473,MIN,SG,23,2
1,193,LAC,PF,33,12
1,315,BOS,PG,28,9
1,151,WAS,SG,29,8
1,391,POR,PF,24,5
1,194,DAL,PF,33,12
1,443,DAL,PF,24,6
1,123,ORL,C,30,10
1,474,MIL,C,25,2
1,49,MIL,PF,33,15
1,265,TOT,C,32,10
1,265,CHO,C,32,10
1,265,LAC,C,32,10
1,29,TOT,SF,36,14
1,29,SAC,SF,36,14
1,29,GSW,SF,36,14
1,266,SAC,PG,32,9
1,237,SAC,SF,28,10
1,483,NYK,PF,24,1
1,5,LAL,SF,37,17
1,231,MIL,C,30,10
1,119,LAL,PF,30,11
1,283,ORL,SG,29,8
1,484,DET,SG,24,1
1,244,DAL,PF,26,8
1,78,MIN,PG,35,16
1,16,TOT,SF,36,15
1,16,CLE,SF,36,15
1,16,ATL,SF,36,15
1,7,DEN,SF,36,17
1,267,BOS,C,31,10
1,240,PHI,PF,32,9
1,485,CHO,C,22,1
1,247,CHO,C,28,5
1,247,ATL,C,29,6
1,247,ATL,C,30,7
1,475,NYK,SF,28,2
1,61,IND,SG,31,12
1,368,PHI,C,29,8
1,369,IND,C,26,8
1,383,GSW,C,33,7
1,316,NYK,C,26,7
1,316,NYK,C,27,8
1,316,DET,C,28,9
1,42,OKC,PF,37,14
1,88,DEN,SG,33,12
1,107,LAC,PF,34,15
1,325,BOS,SG,28,6
1,370,MIA,PF,19,1
1,195,CHI,C,32,12
1,317,BOS,C,27,8
1,371,LAC,SG,29,8
1,219,OKC,PG,28,6
1,459,WAS,PF,26,3
1,145,NOP,PF,28,8
1,145,MIN,PF,28,8
1,145,GSW,SF,29,9
1,145,MEM,SF,30,10
1,268,TOR,SF,29,10
1,64,MIL,PF,35,10
1,64,MIA,PF,36,11
1,64,PHI,PF,37,12
1,435,TOR,C,28,7
1,372,MIL,SG,30,8
1,486,ORL,SG,23,1
1,232,CHI,PG,34,11
1,447,TOR,SF,25,5
1,169,LAC,PF,31,11
1,133,BRK,PG,34,14
1,10,MIL,C,38,18
1,159,LAC,SG,32,13
1,67,PHI,C,36,16
1,3,LAC,SF,39,19
1,476,CHI,SF,23,2
1,487,DAL,PG,25,1
1,248,BRK,PF,26,5
1,248,BRK,PF,27,6
1,248,PHO,PF,28,7
1,448,TOT,PG,27,5
1,448,LAL,PG,27,5
1,448,CLE,PG,27,5
